,IP,request_url,timestamp
0,127.0.0.1,http://127.0.0.1:5000/token?username=admin&password=admin,1574629625.811998
0,127.0.0.1,http://127.0.0.1:5000/,1574629946.9541676
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574629947.1147387
0,127.0.0.1,http://127.0.0.1:5000/swaggerui/favicon-32x32.png,1574629947.1676235
0,127.0.0.1,http://127.0.0.1:5000/,1574629981.7421505
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574629981.865484
0,127.0.0.1,http://127.0.0.1:5000/swaggerui/favicon-32x32.png,1574629981.8724627
0,127.0.0.1,http://127.0.0.1:5000/movies/Advatar,1574629992.85789
0,127.0.0.1,http://127.0.0.1:5000/,1574630941.5263746
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574630941.6939287
0,127.0.0.1,http://127.0.0.1:5000/swaggerui/favicon-32x32.png,1574630941.7777035
0,127.0.0.1,http://127.0.0.1:5000/,1574630950.4591355
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574630950.5698419
0,127.0.0.1,http://127.0.0.1:5000/swaggerui/favicon-32x32.png,1574630950.5778198
0,127.0.0.1,http://127.0.0.1:5000/visit_report,1574630957.2577395
0,127.0.0.1,http://127.0.0.1:5000/,1574634168.6974297
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574634169.1331403
0,127.0.0.1,http://127.0.0.1:5000/,1574634204.525386
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574634204.7031178
0,127.0.0.1,http://127.0.0.1:5000/swaggerui/favicon-32x32.png,1574634204.7755075
0,127.0.0.1,http://127.0.0.1:5000/visit_report,1574634212.313489
0,127.0.0.1,http://127.0.0.1:5000/,1574634591.4512382
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574634591.6455736
0,127.0.0.1,http://127.0.0.1:5000/swaggerui/favicon-32x32.png,1574634591.6984909
0,127.0.0.1,http://127.0.0.1:5000/visit_report,1574634596.7618463
0,127.0.0.1,http://127.0.0.1:5000/,1574634643.509499
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574634643.783799
0,127.0.0.1,http://127.0.0.1:5000/swaggerui/favicon-32x32.png,1574634643.789324
0,127.0.0.1,http://127.0.0.1:5000/movies/Avatar,1574634936.4057305
0,127.0.0.1,http://127.0.0.1:5000/movielist?year=2015&genre=Crime,1574634964.1439612
0,127.0.0.1,http://127.0.0.1:5000/movielist?rating=8&year=2013,1574635027.1053314
0,127.0.0.1,http://127.0.0.1:5000/movielist?rating=8&genre=Crime,1574635099.0364048
0,127.0.0.1,http://127.0.0.1:5000/movies/Avatar,1574635113.3345428
0,127.0.0.1,http://127.0.0.1:5000/movies/The%20Matrix,1574635161.5094779
0,127.0.0.1,http://127.0.0.1:5000/movies/The%20Terminator,1574635205.2668686
0,127.0.0.1,http://127.0.0.1:5000/movies/Now%20and%20Then,1574635261.334566
0,127.0.0.1,http://127.0.0.1:5000/movies/Tag,1574635463.7487252
0,127.0.0.1,http://127.0.0.1:5000/movies/Tag,1574635485.8944726
0,127.0.0.1,http://127.0.0.1:5000/,1574635496.5146701
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574635496.689831
0,127.0.0.1,http://127.0.0.1:5000/swaggerui/favicon-32x32.png,1574635496.7043672
0,127.0.0.1,http://127.0.0.1:5000/movies/Tag,1574635507.1770356
0,127.0.0.1,http://127.0.0.1:5000/movies/Dogman,1574635526.17959
0,127.0.0.1,http://127.0.0.1:5000/movies/Avatar,1574635533.6619453
0,127.0.0.1,http://127.0.0.1:5000/movies/Tag,1574635551.789372
0,127.0.0.1,http://127.0.0.1:5000/movies/Dogman,1574635569.307465
0,127.0.0.1,http://127.0.0.1:5000/movies/Dogman,1574635572.126391
0,127.0.0.1,http://127.0.0.1:5000/movies/Dogman,1574635578.6359854
0,127.0.0.1,http://127.0.0.1:5000/movies/Ant-Man%20and%20the%20Wasp,1574635600.0221355
0,127.0.0.1,http://127.0.0.1:5000/movies/Ant-Man%20and%20the%20Wasp,1574635608.3418078
0,127.0.0.1,http://127.0.0.1:5000/movies/Avatar,1574635614.964437
0,127.0.0.1,http://127.0.0.1:5000/movies/Toy%20Story,1574635645.9417143
0,127.0.0.1,http://127.0.0.1:5000/movies/Jumanji,1574635662.3521938
0,127.0.0.1,http://127.0.0.1:5000/movies/Grumpier%20Old%20Men,1574635680.33524
0,127.0.0.1,http://127.0.0.1:5000/movies/Ace%20Ventura:%20When%20Nature%20Calls,1574635707.3792117
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574635737.8173583
0,127.0.0.1,http://127.0.0.1:5000/favicon.ico,1574635738.817237
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574635745.9263594
0,127.0.0.1,http://127.0.0.1:5000/swagger.json,1574635749.223403
0,127.0.0.1,http://127.0.0.1:5000/movielist?rating=6&year=2015&genre=Crime,1574636274.7742305
